,Learning Rate,Momentum,Layer 1 size,Layer 2 size,Accuracy
0,0.01,0.1,10,0,0.05
1,0.01,0.1,30,0,0.05
2,0.01,0.1,50,0,0.05
3,0.01,0.1,80,0,0.05
4,0.01,0.1,100,0,0.05
5,0.01,0.5,10,0,0.05
6,0.01,0.5,30,0,0.05
7,0.01,0.5,50,0,0.05
8,0.01,0.5,80,0,0.055000000000000014
9,0.01,0.5,100,0,0.05
10,0.01,1.0,10,0,0.09
11,0.01,1.0,30,0,0.05
12,0.01,1.0,50,0,0.05500000000000001
13,0.01,1.0,80,0,0.05
14,0.01,1.0,100,0,0.05
15,0.1,0.1,10,0,0.05
16,0.1,0.1,30,0,0.05
17,0.1,0.1,50,0,0.05
18,0.1,0.1,80,0,0.085
19,0.1,0.1,100,0,0.19999999999999998
20,0.1,0.5,10,0,0.05
21,0.1,0.5,30,0,0.10500000000000001
22,0.1,0.5,50,0,0.29500000000000004
23,0.1,0.5,80,0,0.43
24,0.1,0.5,100,0,0.54
25,0.1,1.0,10,0,0.07
26,0.1,1.0,30,0,0.5
27,0.1,1.0,50,0,0.425
28,0.1,1.0,80,0,0.7949999999999999
29,0.1,1.0,100,0,0.725
30,1.0,0.1,10,0,0.38
31,1.0,0.1,30,0,0.72
32,1.0,0.1,50,0,0.82
33,1.0,0.1,80,0,0.8399999999999999
34,1.0,0.1,100,0,0.8949999999999999
35,1.0,0.5,10,0,0.42000000000000004
36,1.0,0.5,30,0,0.79
37,1.0,0.5,50,0,0.845
38,1.0,0.5,80,0,0.85
39,1.0,0.5,100,0,0.875
40,1.0,1.0,10,0,0.9049999999999999
41,1.0,1.0,30,0,0.95
42,1.0,1.0,50,0,0.9200000000000002
43,1.0,1.0,80,0,0.9649999999999999
44,1.0,1.0,100,0,0.9399999999999998
